label,index
ATL,0
ORD,1
DEN,2
DFW,3
LAX,4
PHX,5
IAH,6
LAS,7
SLC,8
EWR,9
SFO,10
MCO,11
CLT,12
DTW,13
JFK,14
MSP,15
BOS,16
LGA,17
CVG,18
BWI,19
SEA,20
PHL,21
MDW,22
SAN,23
IAD,24
DCA,25
CLE,26
TPA,27
OAK,28
FLL,29
HNL,30
RDU,31
MCI,32
SJC,33
PDX,34
SMF,35
BNA,36
HOU,37
STL,38
DAL,39
SNA,40
AUS,41
PIT,42
MEM,43
SAT,44
ONT,45
ABQ,46
CMH,47
IND,48
MSY,49
JAX,50
BUR,51
MIA,52
BDL,53
PBI,54
MKE,55
TUS,56
RSW,57
RNO,58
BUF,59
OMA,60
OGG,61
PVD,62
OKC,63
BHM,64
TUL,65
ELP,66
MHT,67
SDF,68
ANC,69
ORF,70
BOI,71
RIC,72
COS,73
GEG,74
LIT,75
ROC,76
KOA,77
FAT,78
LIH,79
GRR,80
ALB,81
DAY,82
LGB,83
DSM,84
SJU,85
SAV,86
SBA,87
CHS,88
PSP,89
SYR,90
ICT,91
MSN,92
GSO,93
JAN,94
ISP,95
XNA,96
HPN,97
TYS,98
GSP,99
BTR,100
ITO,101
PNS,102
SGF,103
CID,104
CAE,105
CAK,106
MRY,107
LEX,108
LBB,109
HSV,110
SHV,111
PWM,112
SRQ,113
MAF,114
MDT,115
AMA,116
FNT,117
GRB,118
GPT,119
VPS,120
CRP,121
EUG,122
MFR,123
SBP,124
MYR,125
MLI,126
BTV,127
FSD,128
LFT,129
PHF,130
BZN,131
BFL,132
MOB,133
GRK,134
PIA,135
ASE,136
GJT,137
FWA,138
SWF,139
RAP,140
BIL,141
FAI,142
HRL,143
ABE,144
JNU,145
MFE,146
FAR,147
ATW,148
CHA,149
DRO,150
BMI,151
MSO,152
ACV,153
RDM,154
EVV,155
SGU,156
ILM,157
DAB,158
AZO,159
YUM,160
CPR,161
CRW,162
LAN,163
JAC,164
TLH,165
TVC,166
BGR,167
SUN,168
SBN,169
FCA,170
IDA,171
MOD,172
MLU,173
MGM,174
AEX,175
PSC,176
CLD,177
ROA,178
ABI,179
AVL,180
CMI,181
EGE,182
RST,183
MTJ,184
GTF,185
LRD,186
LNK,187
HDN,188
MBS,189
KTN,190
FSM,191
PFN,192
AGS,193
ACT,194
FAY,195
LAW,196
BIS,197
SPS,198
TWF,199
TOL,200
MLB,201
AVP,202
GNV,203
STT,204
PIH,205
FLG,206
EKO,207
LSE,208
RDD,209
SMX,210
SJT,211
CLL,212
DHN,213
BRO,214
SPI,215
TYR,216
HLN,217
CSG,218
OXR,219
CIC,220
DBQ,221
CHO,222
SIT,223
COD,224
ABY,225
BQN,226
IPL,227
LCH,228
TRI,229
GUC,230
OAJ,231
DLH,232
TXK,233
VLD,234
MQT,235
EYW,236
OME,237
GGG,238
CEC,239
OTZ,240
GTR,241
BQK,242
PSE,243
HHH,244
IYK,245
CWA,246
MCN,247
BET,248
LYH,249
MOT,250
BTM,251
GFK,252
TTN,253
CDV,254
LWS,255
YAK,256
RFD,257
ACY,258
WRG,259
BRW,260
PSG,261
SCC,262
MEI,263
FLO,264
ADQ,265
EWN,266
BLI,267
TUP,268
APF,269
ERI,270
ILG,271
YKM,272
SLE,273
PMD,274
BPT,275
SCE,276
ACK,277
WYS,278
HTS,279
BGM,280
ROW,281
LWB,282
SOP,283
TEX,284
AKN,285
DLG,286
STX,287
MTH,288
GST,289
ADK,290
ISO,291
MKC,292
PLN,293
