label,index
CL-600-2B19,0
737-7H4,1
EMB-145LR,2
737-3H4,3
A320-232,4
CL-600-2C10,5
717-200,6
MD-88,7
DC-9-82(MD-82),8
EMB-120ER,9
757-232,10
EMB-145XR,11
EMB-135KL,12
757-222,13
CL600-2D24,14
737-322,15
A319-112,16
EMB-135LR,17
737-824,18
737-524,19
A319-114,20
737-832,21
A319-131,22
A319-111,23
737-5H4,24
737-3TO,25
A320-212,26
DC-9-51,27
A319-132,28
ERJ 190-100 IGW,29
757-251,30
DC-9-83(MD-83),31
737-522,32
SAAB 340B,33
EMB-145EP,34
737-4B7,35
737-76N,36
737-7BD,37
A320-211,38
DHC-8-202,39
737-3G7,40
DC-9-31,41
737-4Q8,42
737-724,43
A321-211,44
737-790,45
737-3B7,46
737-490,47
A320-214,48
767-332,49
737-890,50
757-223,51
MD-90-30,52
737-3Q8,53
DC-9-32,54
A320-231,55
EMB-135ER,56
757-351,57
737-3A4,58
737-401,59
767-322,60
757-224,61
757-2B7,62
DC-9-41,63
A318-111,64
EMB-120,65
737-924,66
737-990,67
737-301,68
757-225,69
737-3Y0,70
737-236,71
ATR-72-212,72
ATR 72-212,73
767-432ER,74
767-223,75
777-222,76
757-324,77
EMB-145,78
757-33N,79
737-317,80
767-323,81
737-3T5,82
737-3S3,83
737-33A,84
767-33A,85
737-3L9,86
757-2S7,87
737-2Y5,88
737-282,89
737-3K2,90
FALCON-XP,91
737-2P6,92
767-424ER,93
737-7Q8,94
MD 83,95
FALCON XP,96
737-230,97
PA-28-180,98
757-212,99
421C,100
S55A,101
737-76Q,102
737-282C,103
737-2X6C,104
172M,105
757-2G7,106
737-7AD,107
737-73A,108
747-2B5F,109
767-224,110
737-705,111
767-3G5,112
767-3CB,113
757-2Q8,114
PA-31-350,115
65-A90,116
A330-323,117
737-4S3,118
757-23N,119
HST-550,120
KITFOX IV,121
60,122
550,123
T210N,124
C90,125
210-5(205),126
VANS AIRCRAFT RV6,127
206B,128
767-2B7,129
S-50A,130
182P,131
150,132
PA-32R-300,133
737-8FH,134
777-232,135
OTTER DHC-3,136
757-26D,137
767-201,138
DA 20-A1,139
S-76A,140
182A,141
F85P-1,142
AS 355F1,143
T337G,144
G-IV,145
A-1B,146
1121,147
172E,148
690A,149
DC-7BF,150
A109E,151
E-90,152
PA-32RT-300,153
747-422,154
767-3P6,155
777-224,156
767-324,157
747-451,158
757-231,159
A330-223,160
